,label,message
5464,spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
5009,ham,Go fool dont cheat others ok
4484,ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
3592,ham,How much would it cost to hire a hitman
684,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
3320,ham,Kay... Since we are out already 
1586,ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
1524,ham,Yup ok thanx...
2891,ham,Shuhui has bought ron's present it's a swatch watch...
3654,ham,It has issues right now. Ill fix for her by tomorrow.
1312,ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
5439,ham,Am slow in using biola's fne
4081,ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
588,ham,"""Pete can you please ring meive hardly gotany credit"""
865,ham,Dude ive been seeing a lotta corvettes lately
2638,ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
4725,spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
566,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
311,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
1158,ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
931,ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
4633,ham,"I'm in a meeting, call me later at"
227,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
5120,ham,Are you driving or training?
907,spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
3859,ham,R u still working now?
5178,ham,Company is very good.environment is terrific and food is really nice:)
4650,ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
3947,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
329,ham,"Cool, text me when you're parked"
698,ham,meet you in corporation st outside gap … you can see how my mind is working!
3181,ham,There the size of elephant tablets & u shove um up ur ass!!
1289,ham,Happy new year to u too!
4743,ham,Ya very nice. . .be ready on thursday
1266,ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
5021,ham,"It's cool, we can last a little while. Getting more any time soon?"
3207,ham,At home also.
2697,ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
1211,ham,Guessin you ain't gonna be here before 9?
2833,ham,Its normally hot mail. Com you see!
3156,ham,Ok...
4374,ham,Me fine..absolutly fine
1056,ham,I'm at work. Please call
3560,spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
3961,ham,I sent lanre fakeye's Eckankar details to the mail box
1224,ham,Rofl betta invest in some  anti aging products
1927,ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
2276,ham,Is that on the telly? No its Brdget Jones!
5485,ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
3952,ham,Hi dude hw r u da realy mising u today
3168,ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
4407,spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
1458,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
857,ham,Going to take your babe out ?
1058,ham,Ard 515 like dat. Y?
2907,ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
1957,ham,K...k:)why cant you come here and search job:)
1948,ham,The battery is for mr adewale my uncle. Aka Egbon
4084,ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
5083,ham,"""HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
5301,ham,Well good morning mr . Hows london treatin' ya treacle?
2365,ham,Ok then no need to tell me anything i am going to sleep good night
1528,ham,No screaming means shouting..
2105,ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
3874,ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
84,ham,Yup next stop.
835,ham,Surely result will offer:)
2499,ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
1304,ham,I cant pick the phone right now. Pls send a message
1604,ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
70,ham,Wah lucky man... Then can save money... Hee...
3937,ham,They r giving a second chance to rahul dengra.
728,ham,"Alright omw, gotta change my order to a half8th"
1868,ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
2019,ham,Ya it came a while ago
1951,ham,Oh ic. I thought you meant mary jane.
2794,ham,Not from this campus. Are you in the library?
5492,ham,K. I will sent it again
4758,ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
1686,ham,Cramps stopped. Going back to sleep
742,ham,Do well :)all will for little time. Thing of good times ahead:
975,ham,Eh u send wrongly lar...
5271,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
600,ham,I'm going out to buy mum's present ar.
521,ham,But that's on ebay it might be less elsewhere.
1127,ham,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
3017,ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
2527,ham,Do u noe how 2 send files between 2 computers?
5379,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
759,ham,U should have made an appointment
