,label,message
5296,spam,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
4058,ham,Noice. Text me when you're here
2079,spam,85233 FREE>Ringtone!Reply REAL
3878,ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
4348,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
1490,ham,Ok i juz receive..
1637,ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
4114,ham,Thought we could go out for dinner. I'll treat you! Seem ok?
1692,ham,I don't know but I'm raping dudes at poker
3384,ham,K... Must book a not huh? so going for yoga basic on sunday?
4774,ham,Ok then u tell me wat time u coming later lor.
3327,ham,Huh so fast... Dat means u havent finished painting?
3258,ham,"No, but you told me you were going, before you got drunk!"
1652,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
1880,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
1957,ham,K...k:)why cant you come here and search job:)
89,ham,"Ela kano.,il download, come wen ur free.."
1367,ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
4650,ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
395,ham,Pick you up bout 7.30ish? What time are  and that going?
1746,ham,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
4478,ham,Oh :-)only 4 outside players allowed to play know
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
1273,ham,Ok...
2853,ham,how tall are you princess?
3432,ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
4125,ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
3200,ham,No de.am seeing in online shop so that i asked.
